,系统I温度 (Temperature of system I),系统II温度 (Temperature of system II),原矿参数1 (Mineral parameter 1),原矿参数2 (Mineral parameter 2),原矿参数3 (Mineral parameter 3),原矿参数4 (Mineral parameter 4),原矿质量
99,1390.48,934.1,54.89,109.21,43.6,21.64,407.71000000000004
100,1388.59,932.93,54.89,109.21,43.6,21.64,407.71000000000004
101,1132.7,859.51,54.89,109.21,43.6,21.64,407.71000000000004
102,1132.4,859.53,54.89,109.21,43.6,21.64,401.94
103,1132.93,859.63,54.89,109.21,43.6,21.64,401.94
104,1133.1,859.76,54.89,109.21,43.6,21.64,401.94
105,1179.27,818.02,54.89,109.21,43.6,21.64,434.68
106,1179.63,818.52,54.89,109.21,43.6,21.64,434.68
107,1179.21,818.14,54.89,109.21,43.6,21.64,434.68
108,1179.98,818.74,54.89,109.21,43.6,21.64,444.35
109,1178.63,818.12,54.89,109.21,43.6,21.64,444.35
110,1179.39,818.42,54.89,109.21,43.6,21.64,444.35
111,1006.86,743.66,54.89,109.21,43.6,21.64,424.27
112,739.45,627.6,54.89,109.21,43.6,21.64,424.27
113,740.04,627.97,54.89,109.21,43.6,21.64,424.27
114,739.96,628.08,54.89,109.21,43.6,21.64,419.35
115,740.01,627.58,54.89,109.21,43.6,21.64,419.35
116,739.8,627.44,54.89,109.21,43.6,21.64,419.35
117,739.92,628.01,54.89,109.21,43.6,21.64,418.61
118,578.7,558.49,54.89,109.21,43.6,21.64,418.61
119,576.61,557.38,54.89,109.21,43.6,21.64,418.61
120,578.05,558.18,57.34,112.91,42.87,18.8,412.21
121,578.49,558.52,57.34,112.91,42.87,18.8,412.21
122,715.08,617.02,57.34,112.91,42.87,18.8,412.21
123,715.38,617.36,57.34,112.91,42.87,18.8,401.27
124,1147.31,804.53,57.34,112.91,42.87,18.8,401.27
125,1147.19,804.45,57.34,112.91,42.87,18.8,401.27
126,1146.77,804.04,57.34,112.91,42.87,18.8,402.52
127,1384.6,907.04,57.34,112.91,42.87,18.8,402.52
128,1386.07,907.78,57.34,112.91,42.87,18.8,402.52
129,1384.71,907.3,57.34,112.91,42.87,18.8,382.87
130,1385.66,907.71,57.34,112.91,42.87,18.8,382.87
131,1384.1,906.66,57.34,112.91,42.87,18.8,382.87
132,1385.74,907.87,57.34,112.91,42.87,18.8,397.07
133,1385.95,907.34,57.34,112.91,42.87,18.8,397.07
134,1386.36,908.04,57.34,112.91,42.87,18.8,397.07
135,1376.79,896.39,57.34,112.91,42.87,18.8,419.3
136,1377.23,912.6,57.34,112.91,42.87,18.8,419.3
137,1377.15,912.99,57.34,112.91,42.87,18.8,419.3
138,1376.35,912.32,57.34,112.91,42.87,18.8,395.15999999999997
139,1375.81,911.69,57.34,112.91,42.87,18.8,395.15999999999997
140,1377.19,881.88,57.34,112.91,42.87,18.8,395.15999999999997
141,1377.1,881.94,57.34,112.91,42.87,18.8,457.78
142,1376.79,881.5,57.34,112.91,42.87,18.8,457.78
143,1376.53,882.06,57.34,112.91,42.87,18.8,457.78
144,1377.01,881.77,58.81,109.09,45.89,17.47,411.46
145,1376.48,881.63,58.81,109.09,45.89,17.47,411.46
146,1376.17,881.63,58.81,109.09,45.89,17.47,411.46
147,1376.12,881.58,58.81,109.09,45.89,17.47,429.63
148,1376.17,881.84,58.81,109.09,45.89,17.47,429.63
149,1377.32,1012.3,58.81,109.09,45.89,17.47,429.63
150,1376.3,881.68,58.81,109.09,45.89,17.47,400.66999999999996
151,1376.39,881.97,58.81,109.09,45.89,17.47,400.66999999999996
152,1377.45,882.54,58.81,109.09,45.89,17.47,400.66999999999996
153,1376.3,881.68,58.81,109.09,45.89,17.47,412.85
154,1376.75,881.76,58.81,109.09,45.89,17.47,412.85
155,1377.1,882.1,58.81,109.09,45.89,17.47,412.85
156,1376.48,881.7,58.81,109.09,45.89,17.47,435.24
157,1378.2,883.5,58.81,109.09,45.89,17.47,435.24
158,1374.98,880.34,58.81,109.09,45.89,17.47,435.24
159,1376.84,882.63,58.81,109.09,45.89,17.47,406.0
160,1376.96,881.57,58.81,109.09,45.89,17.47,406.0
161,1376.53,881.81,58.81,109.09,45.89,17.47,406.0
162,1376.97,881.85,58.81,109.09,45.89,17.47,404.46000000000004
163,1377.28,881.77,58.81,109.09,45.89,17.47,404.46000000000004
164,1376.12,882.32,58.81,109.09,45.89,17.47,404.46000000000004
165,1376.53,881.81,58.81,109.09,45.89,17.47,397.27
166,1376.88,881.51,58.81,109.09,45.89,17.47,397.27
167,1376.17,881.54,58.81,109.09,45.89,17.47,397.27
168,1376.26,881.65,62.29,133.06,38.95,16.36,405.49
169,1376.04,881.56,62.29,133.06,38.95,16.36,405.49
170,1376.31,881.66,62.29,133.06,38.95,16.36,405.49
171,1376.61,881.69,62.29,133.06,38.95,16.36,412.45000000000005
172,1376.83,881.86,62.29,133.06,38.95,16.36,412.45000000000005
173,1376.21,881.74,62.29,133.06,38.95,16.36,412.45000000000005
174,1376.75,881.77,62.29,133.06,38.95,16.36,411.48
175,1376.09,881.67,62.29,133.06,38.95,16.36,411.48
176,1376.48,881.45,62.29,133.06,38.95,16.36,411.48
177,1376.53,881.78,62.29,133.06,38.95,16.36,403.1
178,1376.04,881.69,62.29,133.06,38.95,16.36,403.1
179,1376.57,881.87,62.29,133.06,38.95,16.36,403.1
180,1377.06,880.85,62.29,133.06,38.95,16.36,406.49
181,1377.1,881.75,62.29,133.06,38.95,16.36,406.49
182,1376.39,881.87,62.29,133.06,38.95,16.36,406.49
183,1376.31,881.84,62.29,133.06,38.95,16.36,407.03999999999996
184,1377.41,882.16,62.29,133.06,38.95,16.36,407.03999999999996
185,1376.88,881.92,62.29,133.06,38.95,16.36,407.03999999999996
186,1376.57,882.03,62.29,133.06,38.95,16.36,430.24
187,1376.17,881.89,62.29,133.06,38.95,16.36,430.24
188,1376.53,882.09,62.29,133.06,38.95,16.36,430.24
189,1376.21,881.85,62.29,133.06,38.95,16.36,411.62
190,1376.96,881.98,62.29,133.06,38.95,16.36,411.62
191,1376.84,881.94,62.29,133.06,38.95,16.36,411.62
192,1377.28,904.02,60.14,123.98,44.56,16.21,432.47
193,1376.12,903.56,60.14,123.98,44.56,16.21,432.47
194,1376.35,903.34,60.14,123.98,44.56,16.21,432.47
195,1376.12,903.54,60.14,123.98,44.56,16.21,423.12
196,1377.19,903.91,60.14,123.98,44.56,16.21,423.12
197,1377.67,904.19,60.14,123.98,44.56,16.21,423.12
198,1377.19,903.99,60.14,123.98,44.56,16.21,417.12
199,1375.81,903.4,60.14,123.98,44.56,16.21,417.12
200,1376.31,904.01,60.14,123.98,44.56,16.21,417.12
201,1376.48,903.39,60.14,123.98,44.56,16.21,404.65999999999997
202,1377.45,903.46,60.14,123.98,44.56,16.21,404.65999999999997
203,1376.13,903.44,60.14,123.98,44.56,16.21,404.65999999999997
204,1375.95,903.6,60.14,123.98,44.56,16.21,418.07
205,1375.68,903.53,60.14,123.98,44.56,16.21,418.07
206,1377.01,903.62,60.14,123.98,44.56,16.21,418.07
207,1378.69,904.21,60.14,123.98,44.56,16.21,416.1
208,1377.01,903.61,60.14,123.98,44.56,16.21,416.1
209,1376.57,903.81,60.14,123.98,44.56,16.21,416.1
210,1376.79,903.51,60.14,123.98,44.56,16.21,413.87
211,1375.95,902.87,60.14,123.98,44.56,16.21,413.87
212,1376.34,903.55,60.14,123.98,44.56,16.21,413.87
213,1142.21,863.13,60.14,123.98,44.56,16.21,412.52
214,1003.44,839.25,60.14,123.98,44.56,16.21,412.52
215,1003.04,838.77,60.14,123.98,44.56,16.21,412.52
216,1003.48,839.3,54.93,87.87,52.89,20.57,400.81
217,1003.3,839.08,54.93,87.87,52.89,20.57,400.81
218,1003.3,838.99,54.93,87.87,52.89,20.57,400.81
219,1002.73,838.65,54.93,87.87,52.89,20.57,412.91
220,1152.06,864.42,54.93,87.87,52.89,20.57,412.91
221,1151.18,864.5,54.93,87.87,52.89,20.57,412.91
222,1151.67,863.94,54.93,87.87,52.89,20.57,420.11
223,1152.1,864.71,54.93,87.87,52.89,20.57,420.11
224,1152.06,864.86,54.93,87.87,52.89,20.57,420.11
225,1395.7,906.96,54.93,87.87,52.89,20.57,416.14
226,1395.75,907.13,54.93,87.87,52.89,20.57,416.14
227,1395.75,907.02,54.93,87.87,52.89,20.57,416.14
228,1395.92,907.09,54.93,87.87,52.89,20.57,416.79999999999995
229,1396.32,907.12,54.93,87.87,52.89,20.57,416.79999999999995
230,1396.32,906.67,54.93,87.87,52.89,20.57,416.79999999999995
231,1395.66,907.28,54.93,87.87,52.89,20.57,423.76
232,1395.97,906.92,54.93,87.87,52.89,20.57,423.76
233,1395.48,906.95,54.93,87.87,52.89,20.57,423.76
234,1395.58,906.54,54.93,87.87,52.89,20.57,419.78999999999996
235,1388.55,833.19,54.93,87.87,52.89,20.57,419.78999999999996
236,1386.86,895.67,54.93,87.87,52.89,20.57,419.78999999999996
237,1386.69,895.51,54.93,87.87,52.89,20.57,424.87
238,1388.72,896.08,54.93,87.87,52.89,20.57,424.87
239,1387.84,895.86,56.43,98.23,50.29,19.88,424.87
240,1388.55,896.04,56.43,98.23,50.29,19.88,427.42
241,1395.7,897.03,56.43,98.23,50.29,19.88,427.42
242,1396.06,897.38,56.43,98.23,50.29,19.88,427.42
243,1394.86,897.34,56.43,98.23,50.29,19.88,418.01
244,1395.75,897.08,56.43,98.23,50.29,19.88,418.01
245,1395.53,897.15,56.43,98.23,50.29,19.88,418.01
246,862.76,799.68,56.43,98.23,50.29,19.88,428.26
247,862.98,799.82,56.43,98.23,50.29,19.88,428.26
248,862.42,799.5,56.43,98.23,50.29,19.88,428.26
249,862.01,799.5,56.43,98.23,50.29,19.88,421.11
250,862.86,770.6,56.43,98.23,50.29,19.88,421.11
251,862.86,770.44,56.43,98.23,50.29,19.88,421.11
252,862.15,770.4,56.43,98.23,50.29,19.88,416.04999999999995
253,1261.49,856.88,56.43,98.23,50.29,19.88,416.04999999999995
254,1261.0,856.84,56.43,98.23,50.29,19.88,416.04999999999995
255,1261.13,857.05,56.43,98.23,50.29,19.88,420.41999999999996
256,1261.0,856.87,56.43,98.23,50.29,19.88,420.41999999999996
257,1261.71,857.04,56.43,98.23,50.29,19.88,420.41999999999996
258,1261.35,857.1,56.43,98.23,50.29,19.88,433.26
259,1261.27,856.59,56.43,98.23,50.29,19.88,433.26
260,1262.24,857.51,56.43,98.23,50.29,19.88,433.26
261,1261.58,856.97,56.43,98.23,50.29,19.88,444.87
262,1261.0,856.83,56.43,98.23,50.29,19.88,444.87
263,1261.89,857.21,50.91,84.99,51.02,23.51,444.87
264,1261.4,856.63,50.91,84.99,51.02,23.51,434.68
265,1260.87,856.54,50.91,84.99,51.02,23.51,434.68
266,1261.39,856.9,50.91,84.99,51.02,23.51,434.68
267,1260.43,856.39,50.91,84.99,51.02,23.51,424.01
268,1261.76,856.0,50.91,84.99,51.02,23.51,424.01
269,1261.31,978.26,50.91,84.99,51.02,23.51,424.01
270,1260.82,856.53,50.91,84.99,51.02,23.51,442.38
271,1261.23,978.22,50.91,84.99,51.02,23.51,442.38
272,1308.46,813.17,50.91,84.99,51.02,23.51,442.38
273,1308.29,813.09,50.91,84.99,51.02,23.51,413.35
274,1139.79,740.16,50.91,84.99,51.02,23.51,413.35
275,1139.85,739.63,50.91,84.99,51.02,23.51,413.35
276,1139.88,739.76,50.91,84.99,51.02,23.51,429.40999999999997
277,1140.68,740.51,50.91,84.99,51.02,23.51,429.40999999999997
278,1149.39,744.0,50.91,84.99,51.02,23.51,429.40999999999997
279,1148.63,743.9,50.91,84.99,51.02,23.51,428.84999999999997
280,1149.01,744.0,50.91,84.99,51.02,23.51,428.84999999999997
281,1148.42,743.49,50.91,84.99,51.02,23.51,428.84999999999997
282,1007.36,682.73,50.91,84.99,51.02,23.51,420.87
283,1007.09,682.46,50.91,84.99,51.02,23.51,420.87
284,1007.44,682.53,50.91,84.99,51.02,23.51,420.87
285,859.48,618.7,50.91,84.99,51.02,23.51,448.5
286,859.63,618.47,50.91,84.99,51.02,23.51,448.5
287,860.13,618.98,57.88,106.2,47.1,19.63,448.5
288,859.78,618.68,57.88,106.2,47.1,19.63,445.82
289,859.89,745.42,57.88,106.2,47.1,19.63,445.82
290,860.45,745.9,57.88,106.2,47.1,19.63,445.82
291,859.6,618.45,57.88,106.2,47.1,19.63,424.27
292,1147.36,743.32,57.88,106.2,47.1,19.63,424.27
293,1147.6,743.39,57.88,106.2,47.1,19.63,424.27
294,1006.56,682.12,57.88,106.2,47.1,19.63,438.89
295,1296.62,808.13,57.88,106.2,47.1,19.63,438.89
296,1296.62,807.98,57.88,106.2,47.1,19.63,438.89
297,1001.84,680.11,57.88,106.2,47.1,19.63,449.39
298,1002.29,815.48,57.88,106.2,47.1,19.63,449.39
299,1002.26,816.12,57.88,106.2,47.1,19.63,449.39
300,1002.26,815.95,57.88,106.2,47.1,19.63,434.16999999999996
301,1299.86,867.35,57.88,106.2,47.1,19.63,434.16999999999996
302,1299.72,867.32,57.88,106.2,47.1,19.63,434.16999999999996
303,1300.07,867.65,57.88,106.2,47.1,19.63,431.49
304,1300.27,867.59,57.88,106.2,47.1,19.63,431.49
305,856.51,765.04,57.88,106.2,47.1,19.63,431.49
306,855.88,617.25,57.88,106.2,47.1,19.63,517.69
307,856.56,617.28,57.88,106.2,47.1,19.63,517.69
308,856.27,616.98,57.88,106.2,47.1,19.63,517.69
309,1011.98,684.5,57.88,106.2,47.1,19.63,434.02
310,1012.69,684.83,57.88,106.2,47.1,19.63,434.02
311,1012.75,685.09,54.08,96.61,49.03,21.09,434.02
312,1403.66,853.95,54.08,96.61,49.03,21.09,409.16999999999996
313,1404.22,854.54,54.08,96.61,49.03,21.09,409.16999999999996
314,1404.31,854.5,54.08,96.61,49.03,21.09,409.16999999999996
315,1404.52,854.29,54.08,96.61,49.03,21.09,424.49
316,1404.6,854.44,54.08,96.61,49.03,21.09,424.49
317,1403.63,854.08,54.08,96.61,49.03,21.09,424.49
318,1404.25,854.76,54.08,96.61,49.03,21.09,404.26
319,1404.84,854.78,54.08,96.61,49.03,21.09,404.26
320,1404.84,854.93,54.08,96.61,49.03,21.09,404.26
321,1404.75,854.72,54.08,96.61,49.03,21.09,397.19
322,1404.48,854.31,54.08,96.61,49.03,21.09,397.19
323,1404.37,854.55,54.08,96.61,49.03,21.09,397.19
324,1405.28,854.97,54.08,96.61,49.03,21.09,404.76
325,1404.13,854.59,54.08,96.61,49.03,21.09,404.76
326,1404.6,854.42,54.08,96.61,49.03,21.09,404.76
327,1404.63,854.49,54.08,96.61,49.03,21.09,385.28999999999996
328,1404.28,854.31,54.08,96.61,49.03,21.09,385.28999999999996
329,1404.61,854.6,54.08,96.61,49.03,21.09,385.28999999999996
330,1403.9,854.29,54.08,96.61,49.03,21.09,445.7
331,1403.96,854.23,54.08,96.61,49.03,21.09,445.7
332,1403.45,854.21,54.08,96.61,49.03,21.09,445.7
333,1405.72,854.96,54.08,96.61,49.03,21.09,392.78
334,1404.31,854.35,54.08,96.61,49.03,21.09,392.78
335,1404.57,854.78,59.92,117.44,42.21,16.88,392.78
336,1404.19,854.24,59.92,117.44,42.21,16.88,406.89
337,1403.27,853.9,59.92,117.44,42.21,16.88,406.89
338,1404.1,854.29,59.92,117.44,42.21,16.88,406.89
339,1404.19,854.53,59.92,117.44,42.21,16.88,408.14
340,1404.36,854.34,59.92,117.44,42.21,16.88,408.14
341,1405.19,854.73,59.92,117.44,42.21,16.88,408.14
342,1404.4,855.0,59.92,117.44,42.21,16.88,394.12
343,1404.4,854.65,59.92,117.44,42.21,16.88,394.12
344,1404.94,937.7,59.92,117.44,42.21,16.88,394.12
345,1405.65,888.1,59.92,117.44,42.21,16.88,396.29999999999995
346,1405.16,887.9,59.92,117.44,42.21,16.88,396.29999999999995
347,1405.3,888.03,59.92,117.44,42.21,16.88,396.29999999999995
348,1404.68,886.51,59.92,117.44,42.21,16.88,399.53
349,1406.18,887.49,59.92,117.44,42.21,16.88,399.53
350,1405.21,887.18,59.92,117.44,42.21,16.88,399.53
351,1405.21,887.99,59.92,117.44,42.21,16.88,375.65
352,1404.99,887.93,59.92,117.44,42.21,16.88,375.65
353,1404.8,887.94,59.92,117.44,42.21,16.88,375.65
354,1405.21,887.7,59.92,117.44,42.21,16.88,413.51
355,1403.93,885.66,59.92,117.44,42.21,16.88,413.51
356,1404.54,887.95,59.92,117.44,42.21,16.88,413.51
357,1405.03,887.97,59.92,117.44,42.21,16.88,402.47
358,1404.9,888.0,59.92,117.44,42.21,16.88,402.47
359,1404.72,888.0,59.8,113.2,49.51,16.56,402.47
360,1405.6,888.57,59.8,113.2,49.51,16.56,440.78
361,1404.8,887.95,59.8,113.2,49.51,16.56,440.78
362,1404.55,887.63,59.8,113.2,49.51,16.56,440.78
363,1405.51,888.55,59.8,113.2,49.51,16.56,441.37
364,1403.35,886.4,59.8,113.2,49.51,16.56,441.37
365,1404.99,888.44,59.8,113.2,49.51,16.56,441.37
366,1404.76,887.76,59.8,113.2,49.51,16.56,423.39
367,1404.19,887.57,59.8,113.2,49.51,16.56,423.39
368,1404.15,887.44,59.8,113.2,49.51,16.56,423.39
369,1405.03,888.13,59.8,113.2,49.51,16.56,426.35
370,1404.98,887.59,59.8,113.2,49.51,16.56,426.35
371,1404.68,886.65,59.8,113.2,49.51,16.56,426.35
372,1406.44,889.14,59.8,113.2,49.51,16.56,417.78
373,1404.85,888.08,59.8,113.2,49.51,16.56,417.78
374,1404.36,887.84,59.8,113.2,49.51,16.56,417.78
375,1404.77,887.7,59.8,113.2,49.51,16.56,431.69
376,1404.9,888.1,59.8,113.2,49.51,16.56,431.69
377,1404.15,887.88,59.8,113.2,49.51,16.56,431.69
378,1141.94,830.92,59.8,113.2,49.51,16.56,425.66999999999996
379,1142.74,832.25,59.8,113.2,49.51,16.56,425.66999999999996
380,1142.25,832.71,59.8,113.2,49.51,16.56,425.66999999999996
381,1403.35,886.63,59.8,113.2,49.51,16.56,409.01
382,1404.45,887.84,59.8,113.2,49.51,16.56,409.01
383,1405.38,888.08,58.53,120.67,45.41,18.65,409.01
384,1404.85,888.15,58.53,120.67,45.41,18.65,447.54999999999995
385,1404.99,887.79,58.53,120.67,45.41,18.65,447.54999999999995
386,1403.88,887.39,58.53,120.67,45.41,18.65,447.54999999999995
387,1404.68,888.58,58.53,120.67,45.41,18.65,423.13
388,1405.21,888.27,58.53,120.67,45.41,18.65,423.13
389,1405.16,887.02,58.53,120.67,45.41,18.65,423.13
390,1405.25,887.9,58.53,120.67,45.41,18.65,429.59000000000003
391,1404.9,888.05,58.53,120.67,45.41,18.65,429.59000000000003
392,1405.16,888.17,58.53,120.67,45.41,18.65,429.59000000000003
393,1404.46,887.89,58.53,120.67,45.41,18.65,441.27
394,1405.43,888.37,58.53,120.67,45.41,18.65,441.27
395,1405.51,888.22,58.53,120.67,45.41,18.65,441.27
396,1405.56,887.71,58.53,120.67,45.41,18.65,453.46999999999997
397,1406.17,886.67,58.53,120.67,45.41,18.65,453.46999999999997
398,1404.63,887.84,58.53,120.67,45.41,18.65,453.46999999999997
399,1404.81,887.81,58.53,120.67,45.41,18.65,434.25
400,1404.76,888.07,58.53,120.67,45.41,18.65,434.25
401,1405.33,888.06,58.53,120.67,45.41,18.65,434.25
402,1404.76,887.21,58.53,120.67,45.41,18.65,419.91
403,1405.12,887.83,58.53,120.67,45.41,18.65,419.91
404,1404.28,887.53,58.53,120.67,45.41,18.65,419.91
405,1404.54,887.78,58.53,120.67,45.41,18.65,432.98
406,1405.07,887.95,58.53,120.67,45.41,18.65,432.98
407,1404.5,887.91,60.0,117.7,47.94,16.76,432.98
408,1404.2,887.91,60.0,117.7,47.94,16.76,431.01
409,1404.36,887.33,60.0,117.7,47.94,16.76,431.01
410,1404.63,887.78,60.0,117.7,47.94,16.76,431.01
411,1405.38,888.05,60.0,117.7,47.94,16.76,429.03999999999996
412,1404.5,888.07,60.0,117.7,47.94,16.76,429.03999999999996
413,1405.25,888.06,60.0,117.7,47.94,16.76,429.03999999999996
414,1404.55,887.4,60.0,117.7,47.94,16.76,417.67
415,1405.33,888.04,60.0,117.7,47.94,16.76,417.67
416,1404.19,887.87,60.0,117.7,47.94,16.76,417.67
417,1405.3,888.04,60.0,117.7,47.94,16.76,418.62
418,1404.5,887.96,60.0,117.7,47.94,16.76,418.62
419,1404.15,888.08,60.0,117.7,47.94,16.76,418.62
420,1404.5,887.83,60.0,117.7,47.94,16.76,421.28999999999996
421,1405.16,887.72,60.0,117.7,47.94,16.76,421.28999999999996
422,1405.21,889.28,60.0,117.7,47.94,16.76,421.28999999999996
423,1405.38,889.33,60.0,117.7,47.94,16.76,394.81
424,1404.46,887.48,60.0,117.7,47.94,16.76,394.81
425,1404.99,887.86,60.0,117.7,47.94,16.76,394.81
426,1274.62,859.56,60.0,117.7,47.94,16.76,390.11
427,1274.79,859.99,60.0,117.7,47.94,16.76,390.11
428,1376.0,880.94,60.0,117.7,47.94,16.76,390.11
429,1013.2,802.85,60.0,117.7,47.94,16.76,371.58
430,746.23,745.38,60.0,117.7,47.94,16.76,371.58
431,745.83,745.16,63.3,132.38,44.08,15.28,371.58
